106,23,11.06,2015-11-14 13:17,2015-11-14 13:36,2.96,25220
106,24,4.98,2015-11-14 14:29,2015-11-14 15:01,7.07,49420
106,25,2.90,2015-11-14 15:38,2015-11-14 16:37,11.54,79340
106,26,5.58,2015-11-14 17:32,2015-11-14 17:34,0.53,8500
106,27,0.84,2015-11-14 17:48,2015-11-14 18:00,2.77,19500
106,28,1.09,2015-11-14 18:04,2015-11-14 18:35,5.86,42820
106,29,6.45,2015-11-14 19:15,2015-11-14 19:49,19.19,96060
106,30,18.54,2015-11-14 20:35,2015-11-14 21:03,3.68,34900
106,31,5.13,2015-11-14 21:26,2015-11-14 22:01,7.73,49420
106,32,2.56,2015-11-14 22:10,2015-11-14 22:25,5.61,32260
106,0,12.30,2015-11-14 04:55,2015-11-14 04:55,,
107,1,1.15,2015-11-15 11:01,2015-11-15 11:05,1.28,10700
107,2,6.81,2015-11-15 11:40,2015-11-15 11:51,2.70,19060
107,3,7.70,2015-11-15 12:54,2015-11-15 13:08,2.45,21700
107,4,0.09,2015-11-15 13:09,2015-11-15 13:47,5.74,48540
107,5,6.15,2015-11-15 15:14,2015-11-15 15:55,8.18,59540
107,6,5.48,2015-11-15 16:15,2015-11-15 16:52,6.89,48980
107,7,1.72,2015-11-15 17:00,2015-11-15 17:24,8.23,44140
107,8,2.18,2015-11-15 17:41,2015-11-15 18:40,6.03,64820
107,9,3.15,2015-11-15 19:20,2015-11-15 19:47,6.24,42820
107,10,5.34,2015-11-15 20:05,2015-11-15 20:25,6.69,37980
107,11,1.34,2015-11-15 21:07,2015-11-15 21:29,7.88,43700
107,12,8.59,2015-11-15 22:20,2015-11-15 22:52,10.53,57780
107,0,6.80,2015-11-15 10:48,2015-11-15 10:48,,
108,1,1.81,2015-11-14 04:39,2015-11-14 05:02,9.24,48540
108,2,14.81,2015-11-14 08:56,2015-11-14 09:32,11.43,63060
108,3,3.43,2015-11-14 09:50,2015-11-14 10:13,6.39,37100
108,4,0.86,2015-11-14 10:16,2015-11-14 10:32,3.86,26100
108,5,3.37,2015-11-14 13:26,2015-11-14 14:05,4.12,43260
108,6,0.03,2015-11-14 14:19,2015-11-14 15:17,5.89,62180
108,7,6.08,2015-11-14 15:45,2015-11-14 16:39,10.18,74500
108,8,3.81,2015-11-14 17:02,2015-11-14 17:13,2.91,19500
108,9,4.15,2015-11-14 18:54,2015-11-14 19:02,2.82,17300
108,10,2.41,2015-11-14 19:14,2015-11-14 19:14,0.00,8500
108,11,1.78,2015-11-14 20:13,2015-11-14 20:56,6.87,51620
108,12,3.16,2015-11-14 21:07,2015-11-14 21:24,3.37,26540
108,0,18.70,2015-11-14 21:46,2015-11-14 21:46,,
1,1,2.62,2015-11-14 07:48,2015-11-14 08:08,6.96,38860
1,2,5.44,2015-11-14 09:04,2015-11-14 13:15,8.98,246100
1,3,4.55,2015-11-14 13:15,2015-11-14 13:15,2.45,16420
1,4,5.09,2015-11-14 13:15,2015-11-14 14:50,16.31,121580
1,5,9.06,2015-11-14 15:22,2015-11-14 15:56,8.30,51180
1,6,13.87,2015-11-14 17:05,2015-11-14 18:22,13.92,103100
1,7,5.04,2015-11-14 20:22,2015-11-14 20:47,4.58,34900
1,0,9.00,2015-11-14 23:07,2015-11-14 23:07,,
2,1,12.73,2015-11-15 08:19,2015-11-15 08:25,0.90,10700
2,2,0.00,2015-11-15 08:26,2015-11-15 08:55,7.73,44580
2,3,1.32,2015-11-15 09:18,2015-11-15 09:48,6.59,44140
2,4,1.87,2015-11-15 10:55,2015-11-15 11:10,5.11,28740
2,5,6.23,2015-11-15 11:44,2015-11-15 11:57,3.12,23020
2,6,5.47,2015-11-15 12:45,2015-11-15 13:04,4.52,31820
2,7,1.34,2015-11-15 13:14,2015-11-15 13:56,5.85,52060
2,8,3.75,2015-11-15 15:34,2015-11-15 16:30,5.23,62620
2,9,0.76,2015-11-15 16:40,2015-11-15 16:53,3.64,25220
2,0,11.20,2015-11-15 00:41,2015-11-15 00:41,,
3,1,1.88,2015-11-13 08:53,2015-11-13 09:14,4.57,30940
3,2,4.64,2015-11-13 09:59,2015-11-13 10:11,2.49,19060
3,3,13.39,2015-11-13 14:27,2015-11-13 15:28,6.99,67460
3,4,18.09,2015-11-13 17:02,2015-11-13 17:59,10.52,72300
3,5,3.84,2015-11-13 18:13,2015-11-13 18:27,2.96,22140
3,6,0.01,2015-11-13 18:28,2015-11-13 18:44,2.73,23020
3,0,15.00,2015-11-13 00:26,2015-11-13 00:26,,
4,1,8.30,2015-11-15 08:39,2015-11-15 09:07,8.30,45900
4,2,9.58,2015-11-15 10:06,2015-11-15 11:02,14.21,81980
4,3,0.15,2015-11-15 11:03,2015-11-15 11:32,6.91,44140
4,4,6.22,2015-11-15 12:14,2015-11-15 14:36,7.51,111020
4,5,4.78,2015-11-15 15:06,2015-11-15 16:14,4.18,65700
4,6,0.13,2015-11-15 16:15,2015-11-15 16:34,7.99,43260
4,7,10.15,2015-11-15 17:57,2015-11-15 18:41,6.06,42380
4,8,8.52,2015-11-15 19:23,2015-11-15 20:18,12.40,79340
4,0,9.60,2015-11-15 20:45,2015-11-15 20:45,,
5,1,0.35,2015-11-14 06:07,2015-11-14 06:19,4.57,24780
5,2,5.12,2015-11-14 07:32,2015-11-14 07:59,9.32,49420
5,3,11.82,2015-11-14 09:05,2015-11-14 09:19,4.81,27420
5,4,0.54,2015-11-14 09:22,2015-11-14 09:32,3.55,22140
5,5,1.42,2015-11-14 09:43,2015-11-14 10:36,10.09,71420
5,6,1.23,2015-11-14 11:04,2015-11-14 11:47,11.21,69660
5,7,0.00,2015-11-14 11:47,2015-11-14 12:45,13.68,85940
5,8,3.68,2015-11-14 13:13,2015-11-14 13:29,2.74,24340
5,9,0.98,2015-11-14 13:38,2015-11-14 14:33,6.66,64820
5,10,8.95,2015-11-14 16:36,2015-11-14 17:41,3.84,62180
5,11,5.47,2015-11-14 18:25,2015-11-14 18:56,5.17,40180
5,12,6.09,2015-11-14 19:37,2015-11-14 20:25,11.00,69220
5,13,0.75,2015-11-14 20:30,2015-11-14 20:31,0.21,8500
5,14,1.26,2015-11-14 20:50,2015-11-14 21:36,6.85,56460
5,0,6.30,2015-11-14 19:13,2015-11-14 19:13,,
6,1,11.78,2015-11-10 11:09,2015-11-10 12:07,14.94,90340
6,2,0.05,2015-11-10 13:05,2015-11-10 13:18,1.94,19060
6,3,2.24,2015-11-10 13:31,2015-11-10 14:09,6.61,49860
6,4,1.17,2015-11-10 14:54,2015-11-10 15:16,6.95,41500
6,5,1.27,2015-11-10 15:23,2015-11-10 15:57,6.69,48100
6,6,8.48,2015-11-10 16:53,2015-11-10 17:32,7.15,51180
6,7,3.74,2015-11-10 17:52,2015-11-10 18:18,5.51,37540
6,8,3.27,2015-11-10 19:26,2015-11-10 19:49,7.60,42380
6,9,1.35,2015-11-10 19:59,2015-11-10 20:31,12.21,65260
6,10,4.11,2015-11-10 20:40,2015-11-10 20:51,3.37,20820
6,11,14.07,2015-11-10 21:26,2015-11-10 22:13,23.68,110140
6,12,45.85,2015-11-11 09:01,2015-11-11 09:34,8.43,50300
6,13,9.18,2015-11-11 12:25,2015-11-11 13:35,13.77,96060
6,14,8.66,2015-11-11 15:30,2015-11-11 15:52,3.05,20380
6,15,0.00,2015-11-11 15:55,2015-11-11 16:13,4.97,28300
6,16,1.35,2015-11-11 16:20,2015-11-11 16:31,1.89,17740
6,17,0.04,2015-11-11 16:34,2015-11-11 17:00,5.51,37980
6,18,1.46,2015-11-11 17:18,2015-11-11 18:14,9.14,67900
6,19,7.90,2015-11-11 20:34,2015-11-11 20:45,2.98,19500
6,20,5.98,2015-11-11 21:37,2015-11-11 22:03,10.80,56460
6,21,21.26,2015-11-12 07:02,2015-11-12 07:18,4.05,27860
6,22,5.77,2015-11-12 07:37,2015-11-12 07:59,4.19,31820
6,23,5.83,2015-11-12 08:25,2015-11-12 08:38,4.92,28300
6,24,7.52,2015-11-12 09:56,2015-11-12 10:07,6.11,31820
6,25,4.16,2015-11-12 10:40,2015-11-12 10:45,2.82,18180
6,26,0.01,2015-11-12 13:40,2015-11-12 14:16,8.10,52940
6,27,0.01,2015-11-12 14:16,2015-11-12 14:26,0.96,13780
6,28,2.42,2015-11-12 15:41,2015-11-12 16:33,9.41,66140
6,29,4.74,2015-11-12 18:27,2015-11-12 19:15,6.84,57340
6,30,3.58,2015-11-12 19:31,2015-11-12 19:56,7.49,43700
6,31,9.29,2015-11-12 20:55,2015-11-12 21:19,5.52,36220
6,32,4.96,2015-11-12 22:47,2015-11-12 22:55,2.91,18180
6,33,0.00,2015-11-12 23:16,2015-11-12 23:25,3.41,21260
6,34,18.59,2015-11-14 09:37,2015-11-14 10:07,5.33,40620
6,35,1.94,2015-11-14 10:44,2015-11-14 11:25,5.76,49860
6,36,8.71,2015-11-14 12:35,2015-11-14 13:37,7.93,72740
6,37,7.94,2015-11-14 15:15,2015-11-14 15:48,5.31,44140
6,38,2.30,2015-11-14 16:06,2015-11-14 16:06,0.03,8500
6,39,0.22,2015-11-14 16:09,2015-11-14 16:30,2.97,26980
6,40,7.09,2015-11-14 17:37,2015-11-14 17:55,2.35,23460
6,41,0.15,2015-11-14 18:00,2015-11-14 18:31,7.11,44580
6,0,6.70,2015-11-14 01:07,2015-11-14 01:07,,
7,1,8.08,2015-11-15 06:08,2015-11-15 06:33,5.16,38860
7,2,2.55,2015-11-15 06:42,2015-11-15 06:49,2.11,15100
7,3,10.58,2015-11-15 07:27,2015-11-15 07:46,6.85,38860
7,4,12.26,2015-11-15 08:50,2015-11-15 09:38,11.54,71860
7,5,11.79,2015-11-15 11:12,2015-11-15 11:54,7.01,53820
7,6,11.37,2015-11-15 13:22,2015-11-15 13:29,1.22,11140
7,7,3.98,2015-11-15 14:03,2015-11-15 14:57,28.17,143580
7,8,16.08,2015-11-15 19:03,2015-11-15 19:24,5.81,36660
7,9,10.07,2015-11-15 21:00,2015-11-15 21:20,5.42,34900
7,10,8.55,2015-11-15 21:53,2015-11-15 22:11,4.69,30940
7,11,8.19,2015-11-15 23:35,2015-11-15 23:50,8.04,41060
7,0,5.10,2015-11-15 23:00,2015-11-15 23:00,,
8,1,7.72,2015-11-13 05:21,2015-11-13 05:34,6.40,34900
8,2,10.43,2015-11-13 06:04,2015-11-13 06:08,0.67,9380
8,3,2.11,2015-11-13 07:03,2015-11-13 07:37,10.19,57340
8,4,8.73,2015-11-13 08:53,2015-11-13 09:11,6.11,34460
8,5,8.91,2015-11-13 12:20,2015-11-13 12:37,2.17,23460
8,6,4.33,2015-11-13 13:56,2015-11-13 14:20,3.13,30940
8,7,8.56,2015-11-13 15:44,2015-11-13 16:04,3.04,27420
8,8,0.51,2015-11-13 16:34,2015-11-13 17:53,19.17,129500
8,9,0.07,2015-11-13 17:56,2015-11-13 18:25,6.93,43700
8,10,2.44,2015-11-13 18:43,2015-11-13 18:54,1.30,15980
8,11,0.06,2015-11-13 19:35,2015-11-13 19:57,5.17,34020
8,12,0.87,2015-11-13 20:30,2015-11-13 20:49,4.14,29180
